Ticker,timestamp,users_holding
QUAD ,2018-05-02 04:56:05,124
QUAD ,2018-05-02 06:41:16,124
QUAD ,2018-05-03 00:38:11,131
QUAD ,2018-05-03 06:36:27,131
QUAD ,2018-05-03 06:51:26,131
QUAD ,2018-05-03 07:09:44,131
QUAD ,2018-05-03 07:36:56,131
QUAD ,2018-05-03 07:46:11,131
QUAD ,2018-05-03 11:21:58,131
QUAD ,2018-05-03 12:45:21,131
QUAD ,2018-05-03 13:45:22,131
QUAD ,2018-05-03 14:45:22,133
QUAD ,2018-05-03 15:45:23,132
QUAD ,2018-05-03 16:45:23,132
QUAD ,2018-05-03 17:45:23,132
QUAD ,2018-05-03 18:45:22,132
QUAD ,2018-05-03 19:45:22,132
QUAD ,2018-05-03 20:45:22,133
QUAD ,2018-05-03 21:45:21,133
QUAD ,2018-05-03 22:45:23,133
QUAD ,2018-05-03 23:45:21,133
QUAD ,2018-05-04 00:45:22,133
QUAD ,2018-05-04 01:45:22,133
QUAD ,2018-05-04 02:45:24,133
QUAD ,2018-05-04 03:45:22,133
QUAD ,2018-05-04 04:45:22,133
QUAD ,2018-05-04 05:45:22,133
QUAD ,2018-05-04 06:45:22,133
QUAD ,2018-05-04 07:45:22,133
QUAD ,2018-05-04 08:45:23,133
QUAD ,2018-05-04 09:45:23,133
QUAD ,2018-05-04 10:45:22,133
QUAD ,2018-05-04 11:45:22,133
QUAD ,2018-05-04 12:45:21,133
QUAD ,2018-05-04 20:50:06,146
QUAD ,2018-05-04 20:56:06,146
QUAD ,2018-05-04 21:02:05,146
QUAD ,2018-05-04 21:08:05,146
QUAD ,2018-05-04 21:14:05,146
QUAD ,2018-05-04 21:20:04,146
QUAD ,2018-05-04 21:26:04,146
QUAD ,2018-05-04 21:32:03,146
QUAD ,2018-05-04 21:45:20,146
QUAD ,2018-05-04 22:45:21,146
QUAD ,2018-05-04 23:45:22,146
QUAD ,2018-05-05 00:45:21,146
QUAD ,2018-05-05 01:45:22,146
QUAD ,2018-05-05 02:45:22,146
QUAD ,2018-05-05 03:45:22,146
